39
0 12
12 12
24 12
36 12
48 12
60 8
68 12
80 8
88 12
100 8
108 12
120 8
128 12
140 8
148 12
160 8
168 12
180 8
188 12
200 8
208 12
220 8
228 12
240 8
248 12
260 8
268 12
280 8
288 12
300 8
308 12
320 8
328 12
340 8
348 12
360 8
c1634 288 85
c1635 368 91
c1636 308 147
c1637 308 93
c1638 368 122
c1639 368 233
c1640 308 165
c1641 388 199
c1642 368 184
c1643 308 141
c1644 328 113
c1645 388 207
c1646 348 232
c1647 268 237
c1648 368 244
c1649 288 246
c1650 288 182
c1651 348 182
c1652 288 291
c1653 308 277
c1654 328 274
c1655 348 265
c1656 328 197
c1657 248 273
c1658 248 240
c1659 208 296
c1660 188 260
c1661 108 280
c1662 228 289
c1663 268 20
c1664 368 0
c1665 368 23
c1666 348 20
c1667 388 108
c1668 348 14
c1669 368 49
c1670 308 39
c1671 328 8
c1672 368 102
c1673 348 50
c1674 368 65
c1675 368 116
c1676 368 130
c1677 348 140
c1678 308 79
c1679 328 17
c1680 348 93
c1681 348 162
c1682 308 110
c1683 388 102
c1684 308 56
c1685 328 31
c1686 308 130
c1687 288 147
c1688 388 159
c1689 368 175
c1690 388 162
c1691 348 240
c1692 348 154
c1693 348 196
c1694 288 156
c1695 328 186
c1696 368 225
c1697 348 173
c1698 328 170
c1699 348 226
c1700 308 176
c1701 368 253
c1702 328 265
c1703 288 269
c1704 268 296
c1705 348 271
c1706 188 254
c1707 88 278
c1708 188 268
c1709 148 280
c1710 368 281
c1711 188 296
c1712 108 286
c1713 320 30
c1714 380 0
c1715 340 0
c1716 380 6
c1717 360 0
c1718 300 60
c1719 340 12
c1720 380 12
c1721 340 18
c1722 320 48
c1723 380 61
c1724 380 82
c1725 320 42
c1726 300 84
c1727 380 21
c1728 380 105
c1729 380 91
c1730 320 72
c1731 340 6
c1732 360 18
c1733 380 148
c1734 380 114
c1735 380 75
c1736 340 60
c1737 340 66
c1738 360 27
c1739 300 102
c1740 320 117
c1741 340 84
c1742 260 172
c1743 380 130
c1744 320 99
c1745 380 172
c1746 380 199
c1747 360 48
c1748 380 161
c1749 340 87
c1750 380 227
c1751 380 209
c1752 360 54
c1753 320 156
c1754 380 243
c1755 280 159
c1756 380 215
c1757 380 280
c1758 360 294
c1759 280 180
c1760 360 78
c1761 380 263
c1762 380 233
